genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Drama, Horror, Thriller",135,R,It,7.6,I) (,211736,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg","A group of bullied kids band together when a shapeshifting monster, taking the appearance of a clown, begins hunting children."
"Animation, Adventure, Comedy",105,PG,Coco,8.8,I) (,47578,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY98_CR1,0,67,98_AL_.jpg","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"Adventure, Drama, Family",45,TV-PG,Doctor Who,8.7,2005,167396,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGM0OTc0YzMtMTdjNS00MGU3LThlZWItYmU4MjliZmQ0OTkzXkEyXkFqcGdeQXVyMjc5OTMxMzQ@._V1_UY98_CR3,0,67,98_AL_.jpg","The further adventures in time and space of the alien adventurer known as the Doctor, a Time Lord/Lady who can change appearance and gender, and his/her companions."
"Action, Adventure, Comedy",130,PG-13,Thor: Ragnarok,8.1,2017,178754,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_UX67_CR0,0,67,98_AL_.jpg","Imprisoned, the mighty Thor finds himself in a lethal gladiatorial contest against the Hulk, his former ally. Thor must fight for survival and race against time to prevent the all-powerful Hela from destroying his home and the Asgardian civilization."
"Crime, Drama, Mystery",60,TV-MA,Dark,8.8,2017,28320,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNjQ2MTY5NV5BMl5BanBnXkFtZTgwOTAzNTQxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
"Comedy, Drama, Sci-Fi",135,R,Downsizing,5.9,2017,5486,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDYxNDQ5OTYxOV5BMl5BanBnXkFtZTgwOTcyODkxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
"Drama, Horror, Thriller",44,TV-MA,The Walking Dead,8.5,2010,724044,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive."
"Action, Adventure, Crime",53,TV-MA,The Punisher,8.9,2017,68982,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjAzNjYwM15BMl5BanBnXkFtZTgwMTI5NzE1MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","After the murder of his family, Marine veteran Frank Castle became a vigilante known as ""The Punisher"" with only one goal in mind, to avenge them."
"Biography, Drama",140,R,Molly's Game,7.6,2017,3601,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzM3NzcxMzQyNl5BMl5BanBnXkFtZTgwNzUyNzcxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target."
"Action, Adventure, Comedy",141,R,Kingsman: The Golden Circle,7,2017,125261,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US. These two elite secret organizations must band together to defeat a common enemy."
"Biography, Crime, Drama",132,R,All the Money in the World,7.2,2017,2945,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjY3Mjg0OTc1OF5BMl5BanBnXkFtZTgwNDU0MzAyNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",The story of the kidnapping of 16-year-old
"Drama, Romance",132,R,Call Me by Your Name,8.4,2017,15896,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDk3NTEwNjc0MV5BMl5BanBnXkFtZTgwNzYxNTMwMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","In Northern Italy in 1983, seventeen year-old Elio begins a relationship with visiting Oliver, his father's research assistant, with whom he bonds over his emerging sexuality, their Jewish heritage, and the beguiling Italian landscape."
"Comedy, Drama",94,R,Lady Bird,8.2,2017,18241,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjg1NDY0NDYzMV5BMl5BanBnXkFtZTgwNzIwMTEwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","In the early 2000s, an artistically-inclined seventeen year-old comes of age in Sacramento, California."
"Biography, Drama, History",125,PG-13,Darkest Hour,7,2017,5783,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNzE3NDcwNF5BMl5BanBnXkFtZTgwMjI2MzI0NDM@._V1_UY98_CR0,0,67,98_AL_.jpg","During the early days of World War II, the fate of Western Europe hangs on the newly-appointed British Prime Minister Winston Churchill, who must decide whether to negotiate with Hitler, or fight on against incredible odds."
"Drama, Family",113,PG,Wonder,8.1,I) (,18127,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjFhOWY0OTgtNDkzMC00YWJkLTk1NGEtYWUxNjhmMmQ5ZjYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg","Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters fifth grade, attending a mainstream elementary school for the first time."
"Animation, Adventure, Comedy",108,PG,Ferdinand,6.8,2017,3840,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTIwMDI0NjQ4OF5BMl5BanBnXkFtZTgwNjU0MzAyNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
"Action, Adventure, Drama",45,TV-PG,Agents of S.H.I.E.L.D.,7.5,2013,163973,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NzEzMzA2MF5BMl5BanBnXkFtZTgwNDkyNzgyNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
"Biography, Comedy, Drama",104,R,The Disaster Artist,8,2017,20065,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGNkMzliMGMtMDI5Ni00OTZkLTgyMTYtNzk5ZTY1NjVhYjVmXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_UX67_CR0,0,67,98_AL_.jpg",When
"Drama, Horror, Mystery",121,R,Mother!,6.8,2017,76696,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc5ODExODE0MV5BMl5BanBnXkFtZTgwNDkzNDUxMzI@._V1_UX67_CR0,0,67,98_AL_.jpg","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
"Action, Adventure, Sci-Fi",136,PG-13,Guardians of the Galaxy Vol. 2,7.8,2017,317181,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzI1MTg3OF5BMl5BanBnXkFtZTgwNTU3NDA2MTI@._V1_UX67_CR0,0,67,98_AL_.jpg",The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.
"Action, Drama, Sci-Fi",60,TV-14,Runaways,7.5,2017,4434,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMDU4MDA1M15BMl5BanBnXkFtZTgwOTQ1ODY3MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
